Giro 2 (build 04:43, soglia unica): livelli e righe del LIVE
LIVE: primo suono al volto dopo 1061 ms, audio di 7112 ms, scritto in 2470 ms
LIVE VIDEO: ricevuto 384x384 a 25.0 fps, codec video/H264, decoder OMX.qcom.video.decoder.avc; finestra 936x1170 px veri, ritaglio 619x774 millesimi del video
LIVE: il volto ha finito dopo 9092 ms, lo ha detto lui
ORECCHIO db -91 fondo -70 parlato false silenzio 320 mano false
ORECCHIO db -90 fondo -70 parlato false silenzio 640 mano false
ORECCHIO db -90 fondo -70 parlato false silenzio 960 mano false
ORECCHIO db -90 fondo -70 parlato false silenzio 1280 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 1600 mano false
ORECCHIO db -82 fondo -70 parlato false silenzio 1920 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 2240 mano false
ORECCHIO db -80 fondo -70 parlato false silenzio 2560 mano false
ORECCHIO db -81 fondo -70 parlato false silenzio 2880 mano false
ORECCHIO db -82 fondo -70 parlato false silenzio 3200 mano false
ORECCHIO db -61 fondo -70 parlato false silenzio 3520 mano false
ORECCHIO db -42 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -44 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -48 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -58 fondo -69 parlato true silenzio 80 mano false
ORECCHIO db -75 fondo -70 parlato true silenzio 400 mano false
ORECCHIO db -75 fondo -70 parlato true silenzio 720 mano false
ORECCHIO db -83 fondo -70 parlato true silenzio 1040 mano false
ORECCHIO db -77 fondo -70 parlato true silenzio 1360 mano false
ORECCHIO db -87 fondo -70 parlato true silenzio 1680 mano false
ORECCHIO db -89 fondo -70 parlato true silenzio 2000 mano false
LIVE: frase di 3440 ms registrata in 8995 ms, trascritta in 1765 ms: «»
ORECCHIO db -91 fondo -70 parlato false silenzio 320 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 640 mano false
ORECCHIO db -90 fondo -70 parlato false silenzio 960 mano false
ORECCHIO db -81 fondo -70 parlato false silenzio 1280 mano false
ORECCHIO db -78 fondo -70 parlato false silenzio 1600 mano false
ORECCHIO db -68 fondo -70 parlato false silenzio 160 mano false
ORECCHIO db -71 fondo -70 parlato false silenzio 480 mano false
ORECCHIO db -73 fondo -70 parlato false silenzio 800 mano false
ORECCHIO db -74 fondo -70 parlato false silenzio 1120 mano false
ORECCHIO db -87 fondo -70 parlato false silenzio 1440 mano false
ORECCHIO db -85 fondo -70 parlato false silenzio 1760 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 2080 mano false
ORECCHIO db -82 fondo -70 parlato false silenzio 2400 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 2720 mano false
ORECCHIO db -83 fondo -70 parlato false silenzio 3040 mano false
ORECCHIO db -85 fondo -70 parlato false silenzio 3360 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 3680 mano false
ORECCHIO db -81 fondo -70 parlato false silenzio 4000 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 4320 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 4640 mano false
LIVE VIDEO: ricevuto 512x512 a 25.0 fps, codec video/H264, decoder OMX.qcom.video.decoder.avc; finestra 936x1170 px veri, ritaglio 619x774 millesimi del video
ORECCHIO db -86 fondo -70 parlato false silenzio 4960 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 5280 mano false
ORECCHIO db -75 fondo -70 parlato false silenzio 5600 mano false
ORECCHIO db -70 fondo -70 parlato false silenzio 5920 mano false
ORECCHIO db -81 fondo -70 parlato false silenzio 6240 mano false
ORECCHIO db -80 fondo -70 parlato false silenzio 6560 mano false
ORECCHIO db -58 fondo -70 parlato false silenzio 6880 mano false
ORECCHIO db -66 fondo -69 parlato false silenzio 240 mano false
ORECCHIO db -74 fondo -70 parlato false silenzio 560 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 880 mano false
ORECCHIO db -87 fondo -70 parlato false silenzio 1200 mano false
ORECCHIO db -79 fondo -70 parlato false silenzio 1520 mano false
ORECCHIO db -87 fondo -70 parlato false silenzio 1840 mano false
ORECCHIO db -84 fondo -70 parlato false silenzio 2160 mano false
ORECCHIO db -80 fondo -70 parlato false silenzio 2480 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 2800 mano false
ORECCHIO db -85 fondo -70 parlato false silenzio 3120 mano false
ORECCHIO db -87 fondo -70 parlato false silenzio 3440 mano false
ORECCHIO db -75 fondo -70 parlato false silenzio 3760 mano false
ORECCHIO db -65 fondo -70 parlato false silenzio 4080 mano false
ORECCHIO db -23 fondo -70 parlato false silenzio 0 mano false
ORECCHIO db -26 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -59 fondo -70 parlato true silenzio 80 mano false
ORECCHIO db -28 fondo -70 parlato true silenzio 0 mano false
