Livelli del microfono, giro 3, una riga ogni quarto di secondo
ORECCHIO db -80 fondo -70 parlato false silenzio 320 mano false
ORECCHIO db -76 fondo -70 parlato false silenzio 640 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 960 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 1280 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 1600 mano false
ORECCHIO db -82 fondo -70 parlato false silenzio 1920 mano false
ORECCHIO db -85 fondo -70 parlato false silenzio 2240 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 2560 mano false
ORECCHIO db -89 fondo -70 parlato false silenzio 2880 mano false
ORECCHIO db -87 fondo -70 parlato false silenzio 3200 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 3520 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 3840 mano false
ORECCHIO db -84 fondo -70 parlato false silenzio 4160 mano false
ORECCHIO db -84 fondo -70 parlato false silenzio 4480 mano false
ORECCHIO db -87 fondo -70 parlato false silenzio 4800 mano false
ORECCHIO db -83 fondo -70 parlato false silenzio 5120 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 5440 mano false
ORECCHIO db -78 fondo -70 parlato false silenzio 5760 mano false
ORECCHIO db -60 fondo -70 parlato false silenzio 6080 mano false
ORECCHIO db -42 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -42 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -47 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -58 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -67 fondo -70 parlato true silenzio 160 mano false
ORECCHIO db -72 fondo -70 parlato true silenzio 480 mano false
ORECCHIO db -83 fondo -70 parlato true silenzio 800 mano false
ORECCHIO db -80 fondo -70 parlato true silenzio 1120 mano false
ORECCHIO db -84 fondo -70 parlato true silenzio 1440 mano false
ORECCHIO db -87 fondo -70 parlato true silenzio 1760 mano false
ORECCHIO db -85 fondo -70 parlato false silenzio 80 mano false
ORECCHIO db -79 fondo -70 parlato false silenzio 400 mano false
ORECCHIO db -87 fondo -70 parlato false silenzio 720 mano false
ORECCHIO db -76 fondo -70 parlato false silenzio 1040 mano false
ORECCHIO db -75 fondo -70 parlato false silenzio 1360 mano false
ORECCHIO db -83 fondo -70 parlato false silenzio 1680 mano false
ORECCHIO db -68 fondo -70 parlato false silenzio 2000 mano false
ORECCHIO db -82 fondo -70 parlato false silenzio 2320 mano false
ORECCHIO db -83 fondo -70 parlato false silenzio 2640 mano false
ORECCHIO db -82 fondo -70 parlato false silenzio 2960 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 3280 mano false
ORECCHIO db -83 fondo -70 parlato false silenzio 3600 mano false
ORECCHIO db -59 fondo -70 parlato false silenzio 0 mano false
ORECCHIO db -62 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -64 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -72 fondo -70 parlato true silenzio 320 mano false
ORECCHIO db -79 fondo -70 parlato true silenzio 640 mano false
ORECCHIO db -81 fondo -70 parlato true silenzio 960 mano false
ORECCHIO db -88 fondo -70 parlato true silenzio 1280 mano false
ORECCHIO db -83 fondo -70 parlato true silenzio 1600 mano false
ORECCHIO db -88 fondo -70 parlato true silenzio 1920 mano false
ORECCHIO db -83 fondo -70 parlato false silenzio 240 mano false
ORECCHIO db -85 fondo -70 parlato false silenzio 560 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 880 mano false
ORECCHIO db -84 fondo -70 parlato false silenzio 1200 mano false
ORECCHIO db -87 fondo -70 parlato false silenzio 1520 mano false
ORECCHIO db -88 fondo -70 parlato false silenzio 1840 mano false
ORECCHIO db -83 fondo -70 parlato false silenzio 2160 mano false
ORECCHIO db -87 fondo -70 parlato false silenzio 2480 mano false
ORECCHIO db -82 fondo -70 parlato false silenzio 2800 mano false
ORECCHIO db -80 fondo -70 parlato false silenzio 3120 mano false
ORECCHIO db -80 fondo -70 parlato false silenzio 3440 mano false
ORECCHIO db -59 fondo -70 parlato false silenzio 3760 mano false
ORECCHIO db -41 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -28 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -31 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -52 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -23 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -17 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -16 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -25 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -48 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -88 fondo -70 parlato true silenzio 240 mano false
ORECCHIO db -84 fondo -70 parlato true silenzio 560 mano false
ORECCHIO db -85 fondo -70 parlato true silenzio 880 mano false
ORECCHIO db -85 fondo -70 parlato true silenzio 1200 mano false
ORECCHIO db -75 fondo -70 parlato true silenzio 1520 mano false
ORECCHIO db -70 fondo -70 parlato true silenzio 1840 mano false
ORECCHIO db -83 fondo -70 parlato false silenzio 160 mano false
ORECCHIO db -30 fondo -70 parlato false silenzio 0 mano false
ORECCHIO db -20 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -25 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -27 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -19 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -20 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -24 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -57 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -74 fondo -70 parlato true silenzio 240 mano false
ORECCHIO db -79 fondo -70 parlato true silenzio 560 mano false
ORECCHIO db -83 fondo -70 parlato true silenzio 880 mano false
ORECCHIO db -87 fondo -70 parlato true silenzio 1200 mano false
ORECCHIO db -24 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -18 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -25 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -24 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -20 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -24 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -28 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -29 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -26 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -18 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -27 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -77 fondo -70 parlato true silenzio 80 mano false
ORECCHIO db -73 fondo -70 parlato true silenzio 400 mano false
ORECCHIO db -86 fondo -70 parlato true silenzio 720 mano false
ORECCHIO db -81 fondo -70 parlato true silenzio 1040 mano false
ORECCHIO db -59 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -68 fondo -70 parlato true silenzio 80 mano false
ORECCHIO db -74 fondo -70 parlato true silenzio 400 mano false
ORECCHIO db -86 fondo -70 parlato true silenzio 720 mano false
ORECCHIO db -20 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -17 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -18 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -23 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -26 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -17 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -31 fondo -70 parlato true silenzio 0 mano false
ORECCHIO db -74 fondo -70 parlato true silenzio 80 mano false
ORECCHIO db -73 fondo -70 parlato true silenzio 400 mano false
ORECCHIO db -66 fondo -70 parlato true silenzio 720 mano false
ORECCHIO db -86 fondo -70 parlato true silenzio 1040 mano false
ORECCHIO db -89 fondo -70 parlato true silenzio 1360 mano false
ORECCHIO db -83 fondo -70 parlato true silenzio 1680 mano false
ORECCHIO db -87 fondo -70 parlato true silenzio 2000 mano false
ORECCHIO db -70 fondo -70 parlato false silenzio 320 mano false
ORECCHIO db -86 fondo -70 parlato false silenzio 640 mano false
ORECCHIO db -79 fondo -70 parlato false silenzio 960 mano false
ORECCHIO db -78 fondo -70 parlato false silenzio 1280 mano false
ORECCHIO db -62 fondo -69 parlato false silenzio 1600 mano false
